project_id,project_name,project_type,total_value,cofinancing_value,regions,beneficiary_name,currency,country,years
11,Zbiornik przeciwpowodziowy Racibórz Dolny na rzece Odrze w województwie śląskim (polder),['environmental'],1995176677.0,667040000.0,['śląskie'],PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE - RZGW W GLIWICACH,PLN,Poland,2014-2020
12,"Budowa drogi ekspresowej S19 Lublin – Rzeszów, odc. w. Nisko Południe (bez węzła) – w. Sokołów Małopolski Północ (z węzłem)",['transport'],1084564771.0,587297822.4,['podkarpackie'],GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
13,Zintegrowany Projekt modernizacji i rozwoju infrastruktury tramwajowej w Aglomeracji Śląsko – Zagłębiowskiej wraz z zakupem taboru tramwajowego - etap I,['transport'],1188505318.0,545109095.5,['śląskie'],TRAMWAJE ŚLĄSKIE SA,PLN,Poland,2014-2020
14,Budowa trasy tramwajowej do Wilanowa wraz z zakupem taboru oraz infrastrukturą towarzyszącą.,['transport'],1214163031.0,518272468.6,['mazowieckie'],TRAMWAJE WARSZAWSKIE SP. Z O.O.,PLN,Poland,2014-2020
15,Kolej na dobre połączenia - unowocześnienie wagonów i lokomotyw dla PKP Intercity S.A.,['transport'],1531686634.0,515206885.5,['projekt ogólnopolski'],PKP INTERCITY SPÓŁKA AKCYJNA,PLN,Poland,2014-2020
16,"Budowa drogi ekspresowej S7, odc. Moczydło (granica województwa świętokrzyskiego) – w. Miechów",['transport'],980929437.9,497598241.6,"['małopolskie', ' świętokrzyskie']",GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
17,Przyspieszamy komfortowo - unowocześnienie wagonów i zakup lokomotyw dla PKP Intercity S.A.,['transport'],1258682967.0,495765402.0,['projekt ogólnopolski'],PKP INTERCITY SPÓŁKA AKCYJNA,PLN,Poland,2014-2020
18,Kompleksowy program integracji sieci niskoemisyjnego transportu publicznego w metropolii łódzkiej wraz z zakupem taboru do obsługi trasy W-Z oraz innych linii komunikacyjnych i modernizacją zajezdni tramwajowych w Łodzi - Faza I,['transport'],858889496.1,471739367.8,['łódzkie'],MIASTO ŁÓDŹ,PLN,Poland,2014-2020
19,"Budowa drogi ekspresowej S19 Lublin-Rzeszów, odc. w. Lasy Janowskie (bez węzła) - w. Nisko Południe (z węzłem)",['transport'],853207690.1,468342018.5,"['lubelskie', ' podkarpackie']",GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
20,Modernizacja linii kolejowej nr 354 Poznań Główny PoD- Chodzież – Piła Główna w ramach Wielkopolskiego Regionalnego Programu Operacyjnego na lata 2014 - 2020,['transport'],613710651.8,424107897.3,['wielkopolskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
21,Rozwój transportu zbiorowego w Olsztynie - trakcja szynowa,['transport'],607509757.3,421036852.8,['warmińsko-mazurskie'],GMINA OLSZTYN,PLN,Poland,2014-2020
22,"BUDOWA DROGI EKSPRESOWEJ S19 LUBLIN - RZESZÓW, ODC. W. SOKOŁÓW MŁP. PÓŁNOC - STOBIERNA ORAZ W. ŚWILCZA – W. RZESZÓW POŁUDNIE",['transport'],749591118.3,400407460.3,['podkarpackie'],GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
